=========================================================
             VOLCADO DE CACHÉ DE TIA PORTAL              
=========================================================
Fecha de volcado: 11/03/2026 9:13:46
PLC: SFS_PLC_PST
Total Bloques: 102
=========================================================

[Nombre] Bloque de datos_1                   | [Num] 1     | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] DB1_SYS                             | [Num] 1     | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] DB1990_PLANTILLA                    | [Num] 1990  | [Tipo API] GlobalDB     | [Ruta] 1990_Plantilla\1990 Proceso
[Nombre] DB2000_ED                           | [Num] 2000  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2001_EA                           | [Num] 2001  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2005_SD                           | [Num] 2005  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2006_SA                           | [Num] 2006  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2010_V                            | [Num] 2010  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2015_M                            | [Num] 2015  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2016_M_VF                         | [Num] 2016  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2017_M_SINA                       | [Num] 2017  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2025_TOT                          | [Num] 2025  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2026_FF                           | [Num] 2026  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2027_FF_SEC                       | [Num] 2027  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2031_TP                           | [Num] 2031  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2035_PID                          | [Num] 2035  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2037_MEDIA                        | [Num] 2037  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2038_MEDIA_VOLUMEN                | [Num] 2038  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2039_TQ                           | [Num] 2039  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2045_TQ_AE                        | [Num] 2045  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB3100_PREAL                        | [Num] 3100  | [Tipo API] GlobalDB     | [Ruta] 100_Compacto\3100_Parametros
[Nombre] DB3101_PINT                         | [Num] 3101  | [Tipo API] GlobalDB     | [Ruta] 100_Compacto\3100_Parametros
